class,precision,recall,f1,support
car_horn,0.0,0.0,0.0,29
chirping_birds,1.0,0.08,0.14814814814814814,25
clock_tick,1.0,0.2,0.3333333333333333,10
cow,1.0,0.2727272727272727,0.42857142857142855,22
crow,0.96,0.5853658536585366,0.7272727272727273,41
dog,1.0,0.24242424242424243,0.3902439024390244,33
door_wood_knock,1.0,0.6470588235294118,0.7857142857142857,17
engine,0.6086956521739131,0.4375,0.509090909090909,32
footsteps,1.0,0.0196078431372549,0.038461538461538464,51
hen,0.631578947368421,0.5,0.5581395348837209,24
keyboard_typing,0.0,0.0,0.0,3
laughing,1.0,0.1111111111111111,0.2,9
mouse_click,0.0,0.0,0.0,3
rain,1.0,0.5,0.6666666666666666,10
rooster,0.5263157894736842,0.7692307692307693,0.625,13
sheep,1.0,0.5,0.6666666666666666,16
siren,0.8095238095238095,0.6071428571428571,0.6938775510204082,28
thunderstorm,1.0,0.23076923076923078,0.375,13
water_drops,1.0,0.25,0.4,12
wind,0.0,0.0,0.0,57
